Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"DZN to State/Territory (POW) and Main Statistical Area Structure (Main ASGS) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"DZN to State/Territory (POW)","Main Statistical Area Structure (Main ASGS) (POW)",
"111569999","Kempsey Region",16,
"111578318","Macksville - Scotts Head",1754,
"111578319","Macksville - Scotts Head",134,
"111579999","Macksville - Scotts Head",133,
"111588313","Nambucca Heads",490,
"111588314","Nambucca Heads",21,
"111588315","Nambucca Heads",1093,
"111589999","Nambucca Heads",189,
"111598307","Nambucca Heads Region",197,
"111598308","Nambucca Heads Region",338,
"111598309","Nambucca Heads Region",227,
"111598310","Nambucca Heads Region",174,
"111599999","Nambucca Heads Region",20,
"111608328","South West Rocks",959,
"111618401","Lord Howe Island",217,
"111628337","Laurieton - Bonny Hills",401,
"111628338","Laurieton - Bonny Hills",172,
"111628339","Laurieton - Bonny Hills",246,
"111628340","Laurieton - Bonny Hills",212,
"111628341","Laurieton - Bonny Hills",1560,
"111629999","Laurieton - Bonny Hills",105,
"111638352","Port Macquarie - East",7509,
"111648349","Port Macquarie - West",9620,
"111658331","Port Macquarie Region",394,
"111658332","Port Macquarie Region",150,
"111658333","Port Macquarie Region",33,
"111658334","Port Macquarie Region",359,
"111659999","Port Macquarie Region",25,
"111668344","Wauchope",166,
"111668345","Wauchope",2189,
"111668346","Wauchope",335,
"111669999","Wauchope",75,
"111678355","Gloucester",451,
"111678356","Gloucester",1283,
"111679999","Gloucester",76,
"111688377","Old Bar - Manning Point - Red Head",128,
"111688378","Old Bar - Manning Point - Red Head",154,
"111688379","Old Bar - Manning Point - Red Head",498,
"111688380","Old Bar - Manning Point - Red Head",280,
"111689999","Old Bar - Manning Point - Red Head",87,
"111698372","Taree",8738,
"111698373","Taree",397,
"111698374","Taree",326,
"111699999","Taree",35,
"111708359","Taree Region",184,
"111708360","Taree Region",38,
"111708361","Taree Region",411,
"111708362","Taree Region",105,
"111708363","Taree Region",270,
"111708364","Taree Region",75,
"111708365","Taree Region",174,
"111708366","Taree Region",327,
"111709999","Taree Region",24,
"111718369","Wingham",1431,
"111728921","Albury - East",2900,
"111728922","Albury - East",1623,
"111728923","Albury - East",141,
"111729999","Albury - East",198,
"111738912","Albury - North",413,
"111738913","Albury - North",1222,
"111748908","Albury - South",945,
"111748909","Albury - South",9699,
"111749999","Albury - South",108,
"111758898","Albury Region",378,
"111758899","Albury Region",288,
"111758900","Albury Region",130,
"111758901","Albury Region",499,
"111758902","Albury Region",1141,
"111758903","Albury Region",519,
"111758904","Albury Region",385,
"111758905","Albury Region",160,
"111759999","Albury Region",123,
"111768916","Lavington",1185,
"111768917","Lavington",283,
"111768918","Lavington",1837,
"111769999","Lavington",85,
"111778863","Hay",298,
"111778864","Hay",809,
"111779999","Hay",97,
"111788852","Wentworth - Buronga",505,
"111788853","Wentworth - Buronga",392,
"111788854","Wentworth - Buronga",922,
"111789999","Wentworth - Buronga",199,
"111798857","Wentworth-Balranald Region",509,
"111798858","Wentworth-Balranald Region",453,
"111798859","Wentworth-Balranald Region",315,
"111798860","Wentworth-Balranald Region",157,
"111799999","Wentworth-Balranald Region",131,
"111808895","Corowa",2350,
"111818888","Corowa Region",378,
"111818889","Corowa Region",235,
"111818890","Corowa Region",1058,
"111818891","Corowa Region",49,
"111818892","Corowa Region",459,
"111819999","Corowa Region",32,
"111828867","Deniliquin",2873,
"111838870","Deniliquin Region",201,
"111838871","Deniliquin Region",494,
"111838872","Deniliquin Region",536,
"111838873","Deniliquin Region",238,
"111838874","Deniliquin Region",802,
"111838875","Deniliquin Region",18,
"111839999","Deniliquin Region",179,
"111848878","Moama",1410,
"111858881","Tocumwal - Finley - Jerilderie",519,
"111858882","Tocumwal - Finley - Jerilderie",962,
"111858883","Tocumwal - Finley - Jerilderie",533,
"111858884","Tocumwal - Finley - Jerilderie",538,
"111858885","Tocumwal - Finley - Jerilderie",390,
"111859999","Tocumwal - Finley - Jerilderie",77,
"111868671","Armidale",897,
"111868672","Armidale",2170,
"111868673","Armidale",186,
"111868674","Armidale",6098,
"111869999","Armidale",798,
"111878677","Armidale Region - North",595,
"111878678","Armidale Region - North",416,
"111878679","Armidale Region - North",92,
"111878680","Armidale Region - North",206,
"111879999","Armidale Region - North",197,
"111888665","Armidale Region - South",158,
"111888666","Armidale Region - South",281,
"111888667","Armidale Region - South",422,
"111888668","Armidale Region - South",462,
"111889999","Armidale Region - South",69,
"111898683","Walcha",641,
"111898684","Walcha",454,
"111898685","Walcha",208,
"111899999","Walcha",92,
"111908622","Glen Innes",345,
"111908623","Glen Innes",138,
"111908624","Glen Innes",2040,
"111908625","Glen Innes",263,
"111909999","Glen Innes",342,
"111918607","Inverell",4925,
"111928610","Inverell Region - East",105,
"111928611","Inverell Region - East",405,
"111928612","Inverell Region - East",173,
"111928613","Inverell Region - East",152,
"111928614","Inverell Region - East",206,
"111929999","Inverell Region - East",10,
"111938600","Inverell Region - West",361,
"111938601","Inverell Region - West",354,
"111938602","Inverell Region - West",586,
"111938603","Inverell Region - West",141,
"111938604","Inverell Region - West",88,
"111939999","Inverell Region - West",74,
"111948617","Tenterfield",299,
"111948618","Tenterfield",991,
"111948619","Tenterfield",399,
"111949999","Tenterfield",263,
"111958588","Moree",3450,
"111968583","Moree Region",973,
"111968584","Moree Region",564,
"111968585","Moree Region",408,
"111969999","Moree Region",121,
"111978597","Narrabri",2825,
"111988591","Narrabri Region",441,
"111988592","Narrabri Region",512,
"111988593","Narrabri Region",114,
"111988594","Narrabri Region",763,
"111989999","Narrabri Region",91,
"111998628","Gunnedah",3264,
"112008631","Gunnedah Region",442,
"112008632","Gunnedah Region",251,
"112008633","Gunnedah Region",789,
"112009999","Gunnedah Region",6,
"112018636","Quirindi",344,
"112018637","Quirindi",531,
"112018638","Quirindi",1072,
"112018639","Quirindi",562,
"112019999","Quirindi",91,
"112028659","Tamworth - East",1694,
"112028660","Tamworth - East",1083,
"112028661","Tamworth - East",814,
"112028662","Tamworth - East",731,
"112029999","Tamworth - East",129,
"112038646","Tamworth - North",431,
"112038647","Tamworth - North",8813,
"112038648","Tamworth - North",271,
"112039999","Tamworth - North",95,
"112048642","Tamworth - West",1434,
"112048643","Tamworth - West",3241,
"112049999","Tamworth - West",39,
"112058651","Tamworth Region",311,
"112058652","Tamworth Region",243,
"112058653","Tamworth Region",556,
"112058654","Tamworth Region",685,
"112058655","Tamworth Region",280,
"112058656","Tamworth Region",1217,
"112059999","Tamworth Region",168,
"112066729","Belmont - Bennetts Green",1955,
"112066730","Belmont - Bennetts Green",863,
"112066731","Belmont - Bennetts Green",462,
"112066732","Belmont - Bennetts Green",329,
"112066733","Belmont - Bennetts Green",251,
"112066734","Belmont - Bennetts Green",830,
"112069999","Belmont - Bennetts Green",455,
"112076747","Belmont South - Blacksmiths",208,
"112076748","Belmont South - Blacksmiths",217,
"112079999","Belmont South - Blacksmiths",22,
"112086707","Charlestown - Dudley",171,
"112086708","Charlestown - Dudley",1371,
"112086709","Charlestown - Dudley",752,
"112086710","Charlestown - Dudley",740,
"112086711","Charlestown - Dudley",286,
"112086712","Charlestown - Dudley",154,
"112086713","Charlestown - Dudley",200,
"112086714","Charlestown - Dudley",250,
"112086715","Charlestown - Dudley",250,
"112086716","Charlestown - Dudley",4273,
"112089999","Charlestown - Dudley",1148,
"112096639","Glendale - Cardiff - Hillsborough",460,
"112096640","Glendale - Cardiff - Hillsborough",4509,
"112096641","Glendale - Cardiff - Hillsborough",210,
"112096642","Glendale - Cardiff - Hillsborough",1033,
"112096643","Glendale - Cardiff - Hillsborough",266,
"112096644","Glendale - Cardiff - Hillsborough",324,
"112096645","Glendale - Cardiff - Hillsborough",1601,
"112096646","Glendale - Cardiff - Hillsborough",142,
"112096647","Glendale - Cardiff - Hillsborough",798,
"112099999","Glendale - Cardiff - Hillsborough",1151,
"112106692","Mount Hutton - Windale",113,
"112106693","Mount Hutton - Windale",201,
"112106694","Mount Hutton - Windale",1004,
"112109999","Mount Hutton - Windale",16,
"112116761","Redhead",725,
"112126774","Swansea - Caves Beach",161,
"112126775","Swansea - Caves Beach",291,
"112126776","Swansea - Caves Beach",212,
"112126777","Swansea - Caves Beach",804,
"112129999","Swansea - Caves Beach",166,
"112136677","Valentine - Eleebana",387,
"112136678","Valentine - Eleebana",167,
"112136679","Valentine - Eleebana",460,
"112139999","Valentine - Eleebana",43,
"112146660","Warners Bay - Boolaroo",413,
"112146661","Warners Bay - Boolaroo",546,
"112146662","Warners Bay - Boolaroo",791,
"112146663","Warners Bay - Boolaroo",2444,
"112146664","Warners Bay - Boolaroo",696,
"112149999","Warners Bay - Boolaroo",634,
"112156577","Bolton Point - Teralba",330,
"112156578","Bolton Point - Teralba",128,
"112156579","Bolton Point - Teralba",471,
"112156580","Bolton Point - Teralba",548,
"112159999","Bolton Point - Teralba",97,
"112166611","Bonnells Bay - Silverwater",356,
"112166612","Bonnells Bay - Silverwater",318,
"112169999","Bonnells Bay - Silverwater",31,
"112176561","Edgeworth - Cameron Park",209,
"112176562","Edgeworth - Cameron Park",788,
"112176563","Edgeworth - Cameron Park",194,
"112176564","Edgeworth - Cameron Park",827,
"112179999","Edgeworth - Cameron Park",257,
"112186539","Morisset - Cooranbong",478,
"112186540","Morisset - Cooranbong",357,
"112186541","Morisset - Cooranbong",78,
"112186542","Morisset - Cooranbong",110,
"112186543","Morisset - Cooranbong",1830,
"112186544","Morisset - Cooranbong",220,
"112186545","Morisset - Cooranbong",1001,
"112186546","Morisset - Cooranbong",223,
"112186547","Morisset - Cooranbong",575,
"112186548","Morisset - Cooranbong",74,
"112189999","Morisset - Cooranbong",607,
"112196593","Toronto - Awaba",204,
"112196594","Toronto - Awaba",324,
"112196595","Toronto - Awaba",109,
"112196596","Toronto - Awaba",2144,
"112196597","Toronto - Awaba",449,
"112196598","Toronto - Awaba",321,
"112199999","Toronto - Awaba",347,
"112206625","Wangi Wangi - Rathmines",477,
"112206626","Wangi Wangi - Rathmines",722,
"112216524","West Wallsend - Barnsley - Killingworth",617,
"112216525","West Wallsend - Barnsley - Killingworth",216,
"112216526","West Wallsend - Barnsley - Killingworth",391,
"112219999","West Wallsend - Barnsley - Killingworth",82,
"112226923","Adamstown - Kotara",3827,
"112226924","Adamstown - Kotara",268,
"112226925","Adamstown - Kotara",345,
"112226926","Adamstown - Kotara",1025,
"112229999","Adamstown - Kotara",528,
"112236790","Beresfield - Hexham",1361,
"112236791","Beresfield - Hexham",3644,
"112236792","Beresfield - Hexham",98,
"112239999","Beresfield - Hexham",561,
"112246939","Hamilton - Broadmeadow",292,
"112246940","Hamilton - Broadmeadow",1797,
"112246941","Hamilton - Broadmeadow",2161,
"112246942","Hamilton - Broadmeadow",1964,
"112246943","Hamilton - Broadmeadow",1902,
"112246944","Hamilton - Broadmeadow",1248,
"112249999","Hamilton - Broadmeadow",1555,
"112256872","Lambton - New Lambton",404,
"112256873","Lambton - New Lambton",853,
"112256874","Lambton - New Lambton",4745,
"112256875","Lambton - New Lambton",582,
"112256876","Lambton - New Lambton",395,
"112256877","Lambton - New Lambton",1311,
"112259999","Lambton - New Lambton",506,
"112266805","Maryland - Fletcher - Minmi",535,
"112266806","Maryland - Fletcher - Minmi",407,
"112269999","Maryland - Fletcher - Minmi",80,
"112276890","Mayfield - Warabrook",492,
"112276891","Mayfield - Warabrook",2616,
"112276892","Mayfield - Warabrook",917,
"112276893","Mayfield - Warabrook",536,
"112276894","Mayfield - Warabrook",2676,
"112276895","Mayfield - Warabrook",1271,
"112279999","Mayfield - Warabrook",282,
"112286972","Merewether - The Junction",305,
"112286973","Merewether - The Junction",313,
"112286974","Merewether - The Junction",705,
"112286975","Merewether - The Junction",1391,
"112289999","Merewether - The Junction",204,
"112297001","Newcastle - Cooks Hill",404,
"112297002","Newcastle - Cooks Hill",1289,
"112297003","Newcastle - Cooks Hill",164,
"112297004","Newcastle - Cooks Hill",529,
"112297005","Newcastle - Cooks Hill",9293,
"112297006","Newcastle - Cooks Hill",857,
"112297007","Newcastle - Cooks Hill",2821,
"112299999","Newcastle - Cooks Hill",1205,
"112306908","Newcastle Port - Kooragang",481,
"112306909","Newcastle Port - Kooragang",1267,
"112306910","Newcastle Port - Kooragang",2207,
"112309999","Newcastle Port - Kooragang",29,
"112316837","Shortland - Jesmond",1159,
"112316838","Shortland - Jesmond",174,
"112316839","Shortland - Jesmond",3292,
"112316840","Shortland - Jesmond",331,
"112316841","Shortland - Jesmond",1201,
"112316842","Shortland - Jesmond",466,
"112319999","Shortland - Jesmond",258,
"112326988","Stockton - Fullerton Cove",1502,
"112336819","Wallsend - Elermore Vale",320,
"112336820","Wallsend - Elermore Vale",412,
"112336821","Wallsend - Elermore Vale",838,
"112336822","Wallsend - Elermore Vale",767,
"112336823","Wallsend - Elermore Vale",1251,
"112336824","Wallsend - Elermore Vale",1061,
"112339999","Wallsend - Elermore Vale",743,
"112346855","Waratah - North Lambton",1343,
"112346856","Waratah - North Lambton",409,
"112346857","Waratah - North Lambton",50,
"112346858","Waratah - North Lambton",103,
"112346859","Waratah - North Lambton",1929,
"112349999","Waratah - North Lambton",675,
"112356957","Wickham - Carrington - Tighes Hill",2875,
"112356958","Wickham - Carrington - Tighes Hill",819,
"112356959","Wickham - Carrington - Tighes Hill",1393,
"112359999","Wickham - Carrington - Tighes Hill",92,
"112368576","Ballina",7231,
"112368577","Ballina",667,
"112369999","Ballina",258,
"112378565","Ballina Region",1095,
"112378566","Ballina Region",1018,
"112378567","Ballina Region",548,
"112378568","Ballina Region",797,
"112378569","Ballina Region",411,
"112379999","Ballina Region",244,
"112388559","Bangalow",456,
"112388560","Bangalow",578,
"112388561","Bangalow",192,
"112388562","Bangalow",247,
"112389999","Bangalow",84,
"112398554","Brunswick Heads - Ocean Shores",751,
"112398555","Brunswick Heads - Ocean Shores",443,
"112398556","Brunswick Heads - Ocean Shores",109,
"112399999","Brunswick Heads - Ocean Shores",79,
"112408572","Byron Bay",4287,
"112408573","Byron Bay",632,
"112409999","Byron Bay",439,
"112418548","Evans Head",103,
"112418549","Evans Head",119,
"112418550","Evans Head",233,
"112418551","Evans Head",617,
"112419999","Evans Head",17,
"112428580","Lennox Head - Skennars Head",1283,
"112438544","Mullumbimby",553,
"112438545","Mullumbimby",1905,
"112439999","Mullumbimby",131,
"112448491","Casino",4296,
"112458484","Casino Region",280,
"112458485","Casino Region",178,
"112458486","Casino Region",479,
"112458487","Casino Region",170,
"112458488","Casino Region",260,
"112459999","Casino Region",7,
"112468509","Goonellabah",2555,
"112478479","Kyogle",393,
"112478480","Kyogle",895,
"112478481","Kyogle",442,
"112479999","Kyogle",349,
"112488494","Lismore",1801,
"112488495","Lismore",288,
"112488496","Lismore",8077,
"112488497","Lismore",594,
"112488498","Lismore",132,
"112488499","Lismore",2161,
"112489999","Lismore",903,
"112498502","Lismore Region",351,
"112498503","Lismore Region",670,
"112498504","Lismore Region",129,
"112498505","Lismore Region",747,
"112498506","Lismore Region",678,
"112499999","Lismore Region",74,
"112508540","Kingscliff - Fingal Head",79,
"112508541","Kingscliff - Fingal Head",2888,
"112509999","Kingscliff - Fingal Head",105,
"112518517","Murwillumbah",3003,
"112518518","Murwillumbah",1137,
"112528512","Murwillumbah Region",630,
"112528513","Murwillumbah Region",156,
"112528514","Murwillumbah Region",833,
"112529999","Murwillumbah Region",29,
"112538533","Pottsville",198,
"112538534","Pottsville",133,
"112538535","Pottsville",155,
"112538536","Pottsville",322,
"112538537","Pottsville",734,
"112539999","Pottsville",156,
"112548521","Tweed Heads",100,
"112548522","Tweed Heads",48,
"112548523","Tweed Heads",282,
"112548524","Tweed Heads",561,
"112548525","Tweed Heads",4608,
"112549999","Tweed Heads",19,
"112558528","Tweed Heads - South",385,
"112558529","Tweed Heads - South",5114,
"112558530","Tweed Heads - South",944,
"112559999","Tweed Heads - South",645,
"112568771","Griffith (NSW)",7691,
"112578761","Griffith Region",616,
"112578762","Griffith Region",281,
"112578763","Griffith Region",1292,
"112578764","Griffith Region",1119,
"112578765","Griffith Region",146,
"112578766","Griffith Region",162,
"112578767","Griffith Region",1028,
"112578768","Griffith Region",284,
"112579999","Griffith Region",352,
"112588774","Leeton",842,
"112588775","Leeton",2833,
"112589999","Leeton",159,
"112598778","Narrandera",613,
"112598779","Narrandera",1366,
"112599999","Narrandera",95,
"112608847","Tumbarumba",613,
"112608848","Tumbarumba",503,
"112608849","Tumbarumba",165,
